complaint,category
Water leakage near Wakad,Water
Road damaged near Camp,Road
Traffic jam near Hinjewadi,Traffic
Water supply issue in Hadapsar,Water
Drainage issue at Hadapsar,Drainage
Drainage issue at Hinjewadi,Drainage
Streetlight not working in Hinjewadi,Electricity
Loose electric wire in Kothrud,Electricity
Road blocked due to traffic in FC Road,Traffic
Water leakage near Kothrud,Water
Flood near Hinjewadi,Flooding
Flooding reported in Pimpri,Flooding
Traffic signal not working at FC Road,Traffic
Pipeline burst in Pimpri,Water
Traffic signal not working at Kothrud,Traffic
Uneven road surface near Hadapsar,Road
Uneven road surface near Aundh,Road
Flooding reported in Wakad,Flooding
Huge garbage pile near Camp,Waste
Water leakage near FC Road,Water
Loose electric wire in Camp,Electricity
Frequent power cuts in Wakad,Electricity
Road damaged near Baner,Road
Frequent power cuts in FC Road,Electricity
Road damaged near Baner,Road
Uneven road surface near Camp,Road
Flooding reported in Kothrud,Flooding
Pipeline burst in Camp,Water
Loose electric wire in Pimpri,Electricity
Streetlight not working in FC Road,Electricity
Pipeline burst in Baner,Water
Broken road in Aundh,Road
Loose electric wire in Kothrud,Electricity
Cracked road at FC Road,Road
Road blocked due to traffic in Pimpri,Traffic
Large pothole on Baner,Road
Dustbin overflowing in Hadapsar,Waste
Water supply issue in Kothrud,Water
Power outage near FC Road,Electricity
Area submerged in Aundh,Flooding
Waterlogging due to blocked drain in Hadapsar,Drainage
Power outage near Baner,Electricity
Heavy traffic near Baner,Traffic
Waste dumped outside Baner,Waste
Flooding reported in Wakad,Flooding
Uneven road surface near Hinjewadi,Road
Electric pole damaged in Baner,Electricity
Vehicle congestion in Baner,Traffic
Frequent power cuts in Kothrud,Electricity
Road damaged near Hadapsar,Road
Drain blocked near Kothrud,Drainage
Water supply issue in Hadapsar,Water
No drinking water in Shivajinagar,Water
Large pothole on Shivajinagar,Road
Pipeline burst in Hadapsar,Water
Water leakage near Baner,Water
Sewage overflow in Kothrud,Drainage
Traffic jam near Wakad,Traffic
Sewage overflow in Pimpri,Drainage
Drain blocked near Baner,Drainage
Pipeline burst in FC Road,Water
Loose electric wire in Camp,Electricity
Rainwater accumulation in Hinjewadi,Flooding
Vehicle congestion in Hinjewadi,Traffic
Rainwater accumulation in Wakad,Flooding
Vehicle congestion in Camp,Traffic
Power outage near Pimpri,Electricity
Waterlogging due to blocked drain in Hadapsar,Drainage
Electric pole damaged in Baner,Electricity
Heavy traffic near Baner,Traffic
Water overflowing near FC Road,Water
Uneven road surface near Aundh,Road
Sewage overflow in FC Road,Drainage
Rainwater accumulation in FC Road,Flooding
Frequent power cuts in FC Road,Electricity
Area submerged in Kothrud,Flooding
Heavy traffic near Hadapsar,Traffic
Area submerged in Baner,Flooding
Cracked road at Pimpri,Road
Dustbin overflowing in Kothrud,Waste
Uneven road surface near Baner,Road
Waste dumped outside Shivajinagar,Waste
Frequent power cuts in Shivajinagar,Electricity
Power outage near Kothrud,Electricity
Rainwater accumulation in Shivajinagar,Flooding
Pipeline burst in Wakad,Water
Waterlogging due to blocked drain in Pimpri,Drainage
Dustbin overflowing in Shivajinagar,Waste
Flooding reported in Hadapsar,Flooding
Cracked road at Aundh,Road
Dustbin overflowing in Pimpri,Waste
Broken road in Wakad,Road
No drinking water in Aundh,Water
Vehicle congestion in Camp,Traffic
Streetlight not working in Wakad,Electricity
Flooding reported in Wakad,Flooding
Water overflowing near Shivajinagar,Water
Water supply issue in Camp,Water
Pipeline burst in Hadapsar,Water
Traffic signal not working at Camp,Traffic
Traffic signal not working at Wakad,Traffic
Electric pole damaged in Pimpri,Electricity
Waterlogging after rain in Wakad,Flooding
Rainwater accumulation in Wakad,Flooding
Frequent power cuts in Wakad,Electricity
Broken road in FC Road,Road
Frequent power cuts in Baner,Electricity
Drain blocked near Baner,Drainage
