"complaint","category"
"Garbage bin near Swargate market overflowing for the past 5 days, causing foul smell in the entire locality.","Waste"
"Waste collection vehicle has not visited Ambegaon area for over a week, garbage piling up on streets.","Waste"
"Illegal dumping of construction debris near FC Road park, blocking pedestrian walkway completely.","Waste"
"Stray animals scattering garbage from overflowing bins at Sus Road main road every night.","Waste"
"Bio-medical waste disposed openly near Hinjewadi clinic, creating serious health hazard for residents.","Waste"
"Municipal garbage truck skipping Bhosari sector 4 on collection rounds without any notice.","Waste"
"Burning of garbage near Bopodi society compound causing severe air pollution and health issues.","Waste"
"Commercial establishments in Pimpri dumping restaurant waste on public footpaths after midnight.","Waste"
"Wet and dry waste not being segregated by collection staff in Dapodi residential area.","Waste"
"Large pile of garbage accumulating near Balewadi bus stop for more than 10 days.","Waste"
"No dustbins installed in Yerawada weekly market area despite high footfall every Sunday.","Waste"
"Dead animals not being removed from Wakad main road for past 3 days by sanitation staff.","Waste"
"Garbage chute in Bibwewadi housing society clogged and overflowing into common corridor.","Waste"
"Door-to-door garbage collection discontinued in Pune area without prior information to residents.","Waste"
"Plastic waste being openly burned near Warje nullah, violating environmental norms.","Waste"
"Public dustbins near Vishrantwadi garden damaged and not repaired for over a month.","Waste"
"Household waste dumped on the footpath near Kothrud school by unknown individuals daily.","Waste"
"Sanitation workers in Bavdhan not wearing protective gear while handling medical waste.","Waste"
"Mixed waste being transported in uncovered vehicles on Aundh main road causing littering.","Waste"
"Recycling bins installed at JM Road square are being misused for general waste disposal.","Waste"
"Waste segregation bins at Kharadi entrance not emptied for 4 days, creating overflow.","Waste"
"Construction waste from nearby project dumped on Shivajinagar residential lane blocking vehicles.","Waste"
"Discarded mattresses and furniture left on Deccan roadside for weeks without removal.","Waste"
"Garbage collection timing changed without notice in Nigdi area causing confusion for residents.","Waste"
"E-waste disposal facility not available near Viman Nagar, residents forced to dump electronics illegally.","Waste"
"Waste picker harassed by local goons near Kalyani Nagar depot, needs security intervention.","Waste"
"Garden waste from Koregaon Park parks piling up on road margins for several days.","Waste"
"Slaughterhouse waste being dumped near Hadapsar drainage canal illegally at night.","Waste"
"Street food vendors at Magarpatta not maintaining waste bins, littering footpaths heavily.","Waste"
"Collection schedule display board at Baner ward office outdated by several months.","Waste"
"Plastic carry bags still being sold openly by shopkeepers near Kondhwa market.","Waste"
"Night soil being discharged near Chinchwad open ground in absence of proper sanitation facility.","Waste"
"Bins provided to apartments in Pashan colony are too small for the number of residents.","Waste"
"Expired medicines disposed in regular dustbins at Undri pharmacy without proper procedure.","Waste"
"Garbage lifting vehicle arrives at irregular hours in Katraj making it impossible for residents to coordinate.","Waste"
"Pet waste not being cleaned by owners near Swargate walking track despite awareness drives.","Waste"
"Food waste from wedding banquet hall in Ambegaon left on road causing pest infestation.","Waste"
"Festive decoration waste not cleared after events at FC Road ground for over two weeks.","Waste"
"Street sweeping done only once a week in Sus Road though daily cleaning was promised.","Waste"
"Used syringes found discarded near Hinjewadi park posing serious danger to children playing there.","Waste"
"No waste collection point available in newly developed Bhosari extension area.","Waste"
"Complaint registered last week about overflow bins at Bopodi but no action taken yet.","Waste"
"Sanitation staff at Pimpri ward demanding money from residents for door-to-door collection.","Waste"
"Garbage van breakdown in Dapodi area has not been addressed for over 72 hours.","Waste"
"Blue and green bins at Balewadi society gate swapped, leading to wrong waste segregation.","Waste"
"Toxic industrial waste found dumped near Yerawada agricultural fields affecting groundwater.","Waste"
"Littering by motorists at Wakad signal continues despite multiple awareness campaigns.","Waste"
"Garbage compactor vehicle allotted to Bibwewadi zone non-functional for past two weeks.","Waste"
"Waste management app shows collected status for Pune but truck never arrived today.","Waste"
"Tree trimming waste from Warje road median left for days without clearing.","Waste"
"Sewage mixed with solid waste overflowing near Vishrantwadi nullah creating unsanitary conditions.","Waste"
"Roadside vendor stalls near Kothrud market not cleaning surroundings after business hours.","Waste"
"Large-scale illegal waste dumping happening near Bavdhan peripheral road every night.","Waste"
"Apartment block in Aundh has no arrangement for composting wet waste as mandated.","Waste"
"Complaints about JM Road area waste not being attended to on the civic portal for weeks.","Waste"
